emp_id,name,dept,location,hire_date,salary,attrition,perf_score,engagement,absenteeism_days
IN1037,Lisa Brandt,Finance,India,2019-01-02,139268.72,Yes,2.52,4.94,8
IN1038,Jennifer Powers,Finance,India,2021-12-08,71377.42,No,1.62,2.19,1
IN1039,Joseph Martinez,Support,India,2019-05-29,120931.09,Yes,3.99,1.23,18
IN1040,Alex Spencer,Finance,India,2019-05-01,95313.54,Yes,1.23,3.03,5
IN1041,Michael Brown,Sales,India,2016-09-23,105453.86,Yes,2.62,4.77,18
IN1042,Shannon Jones,Engineering,India,2019-08-19,103681.1,Yes,3.48,2.68,18
IN1043,John Ryan,Support,India,2023-08-17,97506.1,No,1.82,3.86,7
IN1044,John Russell,HR,India,2017-03-10,83536.44,No,2.83,4.72,2
IN1045,Jeffrey Henderson,Sales,India,2023-07-12,90411.41,Yes,1.29,1.85,8
IN1046,Amy Valdez,Engineering,India,2017-04-04,142658.53,Yes,4.52,2.48,5
IN1047,Nicholas Mcbride,Finance,India,2017-06-10,131711.95,No,3.45,4.95,20
IN1048,Connor West,Support,India,2022-10-05,40860.54,No,4.73,1.41,4
IN1049,Joel Baxter,HR,India,2016-11-12,52697.15,Yes,3.97,1.62,9
IN1050,Scott Pierce,Support,India,2016-06-11,63169.26,No,1.81,3.54,8
IN1051,Kimberly Smith,Support,India,2017-03-03,93738.5,Yes,1.37,2.69,8
IN1052,Sarah Martin,Sales,India,2023-11-05,40390.03,Yes,3.55,2.05,14
IN1053,Dr. Steven Martin,Support,India,2015-08-15,117623.42,Yes,1.45,4.78,4
IN1054,Mrs. Rachel Gibson,Support,India,2022-10-12,43963.1,No,3.33,1.59,4
IN1055,Monica Logan,Sales,India,2023-11-12,73908.42,Yes,4.6,1.84,7
IN1056,Edward Novak,Sales,India,2016-08-14,78904.65,No,4.9,4.0,7
IN1057,Amy Silva,Engineering,India,2024-02-20,147382.66,Yes,4.53,1.1,10
IN1058,Kim Brown,Finance,India,2024-03-22,128245.87,Yes,2.07,4.15,3
IN1059,Cody Larson,Finance,India,2019-08-02,135938.35,No,1.89,4.27,14
IN1060,Todd Hudson,HR,India,2016-04-04,73571.0,Yes,1.89,3.64,12
IN1061,Jennifer Silva,HR,India,2024-06-23,70646.34,Yes,4.87,2.12,20
IN1062,Dean Santiago,Support,India,2020-12-05,83964.62,No,4.76,1.46,8
IN1063,James Powers,Engineering,India,2020-09-08,103864.87,No,1.15,3.39,11
IN1064,Timothy Walls,HR,India,2015-09-28,88003.33,Yes,2.54,3.31,8
IN1065,Zachary Ferrell,Sales,India,2016-10-30,117966.38,Yes,3.08,4.23,6
IN1066,Katie Anderson,HR,India,2021-07-09,87442.71,No,3.49,3.65,3
IN1067,Sherry Wood,HR,India,2018-04-08,95783.48,No,2.3,3.79,17
IN1068,Joshua Turner,Engineering,India,2024-07-31,61102.41,No,3.71,4.61,19
IN1069,Robert Evans,Support,India,2017-05-06,73104.49,Yes,2.22,1.84,18
IN1070,Brandy Wilson,Support,India,2017-05-28,112017.62,No,2.77,3.7,16
IN1071,Brittney Campbell,Finance,India,2019-03-02,127310.89,Yes,3.64,2.14,20
IN1072,Christina Walters,Support,India,2020-01-28,76870.71,Yes,3.69,1.9,6
IN1073,Danielle Odonnell,Engineering,India,2016-06-12,42686.79,Yes,4.94,3.45,2
IN1074,Jeff Hill,Finance,India,2015-08-24,85588.51,Yes,3.87,2.54,12
IN1075,Carlos Whitney,Engineering,India,2018-05-02,56232.85,Yes,4.57,4.44,3
IN1076,Kristen Patterson,Finance,India,2015-10-01,64072.53,No,1.2,2.0,3
IN1077,Tony Vazquez,Finance,India,2018-02-13,54667.3,No,3.67,4.95,19
IN1078,Sandra Aguilar,HR,India,2018-02-07,144504.36,No,3.45,3.88,16
IN1079,Andrew Diaz,Finance,India,2016-04-05,131362.61,No,4.59,3.97,15
IN1080,Christine Wright,Finance,India,2017-05-01,68511.07,Yes,4.36,2.11,16
IN1081,Justin Baxter,Finance,India,2018-03-19,108942.33,No,2.76,3.85,7
IN1082,Cynthia Martin,HR,India,2018-08-06,76943.23,Yes,1.55,1.93,4
IN1083,Allison Doyle,Engineering,India,2021-03-27,47065.17,No,2.32,2.86,1
IN1084,Jennifer Santiago,Engineering,India,2019-10-22,131618.03,No,4.62,3.34,0
IN1085,Richard Rodriguez,Support,India,2016-03-29,81841.91,Yes,4.77,2.19,12
IN1086,Courtney Velasquez,Finance,India,2023-06-01,99204.26,Yes,2.95,2.09,15
IN1087,Robert Savage,Sales,India,2019-05-18,82774.29,No,3.9,4.36,4
IN1088,Corey Murphy,Support,India,2016-10-06,98753.6,No,3.37,3.65,2
IN1089,Diana May,Finance,India,2022-05-20,54926.94,No,1.73,2.04,10
IN1090,Sarah Rivera,Engineering,India,2016-01-20,90016.93,No,4.04,2.52,13
IN1091,Wesley White,HR,India,2020-02-06,131840.2,No,1.08,3.16,11
IN1092,Kyle Reed,Engineering,India,2020-12-02,111515.85,Yes,4.02,4.8,6
IN1093,William Wilson,Sales,India,2018-10-26,108346.92,Yes,1.5,3.68,18
IN1094,Michael Smith,Engineering,India,2018-12-08,91153.74,No,4.07,1.67,19
IN1095,Benjamin Beck,Sales,India,2021-03-14,125557.11,Yes,4.86,1.43,0
IN1096,Mary Martinez,HR,India,2020-09-10,103337.64,No,2.59,3.86,2
IN1097,Mary Nguyen,Support,India,2020-08-12,115967.59,Yes,1.41,4.09,19
IN1098,Cheryl Ortega,Sales,India,2022-01-12,127584.99,Yes,2.39,2.71,11
IN1099,Stephanie Gilbert,Sales,India,2020-09-14,95655.69,No,1.05,2.68,15
