emp_id,name,dept,location,hire_date,salary,attrition,perf_score,engagement,absenteeism_days
UK1067,Stephen Gutierrez,Sales,UK,2023-04-19,119949.58,No,3.46,2.74,20
UK1068,Nicholas Edwards,Sales,UK,2020-11-24,48254.53,No,2.45,4.2,5
UK1069,Jacqueline Hernandez,Sales,UK,2023-08-26,55705.74,No,1.14,1.27,20
UK1070,Ronald Davis,HR,UK,2017-03-24,79836.56,Yes,3.42,3.72,11
UK1071,Jacqueline Anderson,HR,UK,2016-08-08,88833.32,Yes,3.3,3.12,12
UK1072,Kristina Rivera,HR,UK,2017-08-30,111451.68,Yes,4.84,1.1,5
UK1073,Shane Pugh,Finance,UK,2022-10-12,96951.98,Yes,2.05,2.04,14
UK1074,Michelle Schmitt,Engineering,UK,2020-11-24,149600.16,No,3.78,4.99,6
UK1075,Kenneth Lewis,Sales,UK,2023-10-15,54930.13,Yes,2.81,4.59,14
UK1076,Brian Bruce,Sales,UK,2021-11-01,129156.45,No,3.67,3.84,17
UK1077,Donald Perez,Support,UK,2022-11-19,71939.85,No,4.41,3.85,20
UK1078,Vanessa Cardenas,Engineering,UK,2016-01-12,127306.6,Yes,1.49,1.8,4
UK1079,Mary Steele,Engineering,UK,2016-01-28,126941.04,Yes,2.44,3.29,14
UK1080,Michael Parker,Support,UK,2021-05-13,54274.84,Yes,1.26,2.59,15
UK1081,Christopher Thomas,Support,UK,2022-05-27,85187.46,No,4.29,1.3,10
UK1082,Patrick Bonilla,Sales,UK,2017-02-22,89497.19,No,1.51,4.32,17
UK1083,Cindy Barnes,Support,UK,2021-05-20,60015.95,Yes,2.73,4.64,1
UK1084,Eric Nguyen,Sales,UK,2017-01-10,96991.23,No,1.66,2.29,7
UK1085,Brittney Webster,HR,UK,2016-06-06,144223.15,No,4.38,2.0,20
UK1086,Denise Stanley,Support,UK,2023-11-05,70189.61,No,3.46,1.37,20
UK1087,Jennifer Lewis,Engineering,UK,2024-04-19,105098.93,Yes,1.68,3.5,19
UK1088,Jeffrey Campbell,HR,UK,2023-11-11,132678.3,Yes,4.3,1.11,1
UK1089,Elizabeth Walker,Support,UK,2016-07-07,69112.15,Yes,4.07,2.67,20
UK1090,Eric Clark,Sales,UK,2017-12-01,94784.19,No,3.57,2.21,7
UK1091,Donna Wilson,Finance,UK,2024-01-17,72717.73,Yes,3.75,1.63,13
UK1092,Casey James,Finance,UK,2019-07-01,91088.64,No,3.43,2.25,10
UK1093,Sandra Drake,HR,UK,2016-10-22,147291.15,Yes,4.04,3.06,3
UK1094,Patrick Graham,HR,UK,2023-05-28,66591.16,Yes,2.07,1.99,3
UK1095,Shannon Johnston,Sales,UK,2022-06-18,71923.32,No,4.46,2.67,5
UK1096,Jennifer Wilson,HR,UK,2015-12-09,142712.67,No,1.76,1.64,16
UK1097,Carolyn Meza,Finance,UK,2023-05-30,94863.57,No,2.99,1.36,12
UK1098,Tamara Davis,Support,UK,2017-05-20,90295.37,Yes,1.86,2.41,1
UK1099,Kevin Warren,HR,UK,2022-04-26,94438.36,No,2.14,1.03,3
