emp_id,name,dept,location,hire_date,salary,attrition,perf_score,engagement,absenteeism_days
US1030,Bradley Smith,Finance,USA,2016-06-20,109826.32,No,4.88,2.88,13
US1031,Mrs. Marie Harrington DDS,HR,USA,2016-02-10,75316.41,Yes,4.43,2.32,15
US1032,Christina Smith,HR,USA,2018-03-05,112884.19,No,4.25,3.2,14
US1033,John Wilson,Sales,USA,2019-04-17,74596.89,No,1.46,4.09,16
US1034,David Wood,Sales,USA,2017-07-13,112342.64,No,2.65,1.75,11
US1035,Carla Collins,Support,USA,2016-01-08,123208.75,No,4.04,1.81,17
US1036,Laura Odonnell,Engineering,USA,2021-12-20,142044.0,No,4.52,2.94,0
US1037,Miguel Jones,Support,USA,2019-09-19,127924.51,Yes,2.24,1.05,13
US1038,Raymond Jefferson,Sales,USA,2017-08-23,64717.07,Yes,2.85,1.47,4
US1039,Kylie Williams,Finance,USA,2022-11-14,142591.84,No,3.04,2.09,15
US1040,Andrea Holland,Finance,USA,2015-10-19,66810.4,Yes,2.53,4.69,16
US1041,Samantha Garcia,Engineering,USA,2021-09-29,135042.96,No,4.09,4.42,10
US1042,Sandra Zimmerman,Support,USA,2022-12-29,69388.99,Yes,2.13,2.19,18
US1043,Joseph Santos,Support,USA,2023-10-23,149879.26,No,4.46,2.79,15
US1044,Roger Vargas,HR,USA,2021-01-24,76568.4,No,2.82,2.29,6
US1045,Sandra Miller,Engineering,USA,2023-04-03,102897.74,Yes,4.42,2.64,10
US1046,John Bishop,Finance,USA,2022-01-11,117575.07,No,2.54,3.65,20
US1047,Johnny Nguyen,Engineering,USA,2023-11-17,94486.15,Yes,1.5,4.86,10
US1048,Robert Peterson,Sales,USA,2020-04-13,136160.94,No,1.4,4.64,0
US1049,Kellie Lee,Engineering,USA,2019-09-09,85097.65,Yes,1.3,4.13,8
US1050,Katherine Chang,HR,USA,2023-09-07,108558.53,No,3.6,4.41,17
US1051,Katherine Mcguire,Finance,USA,2017-03-02,144955.36,No,4.49,1.14,2
US1052,Jared Sanchez,Engineering,USA,2021-11-11,109427.71,No,4.99,3.99,13
US1053,Joseph Coleman,Sales,USA,2021-03-18,123640.67,Yes,2.77,3.78,0
US1054,Jesse Parker,Sales,USA,2019-07-04,75681.21,Yes,2.17,2.5,4
US1055,Corey Wilson,Engineering,USA,2018-09-25,98428.29,Yes,1.68,1.32,12
US1056,Parker Hill,Support,USA,2024-07-04,115144.8,No,4.65,1.57,14
US1057,Veronica Wall,HR,USA,2020-08-15,90552.75,Yes,4.6,2.86,9
US1058,Christopher Smith,Support,USA,2017-09-26,57377.32,No,4.78,4.95,9
US1059,William Tran,Finance,USA,2017-09-24,115934.49,No,4.38,1.8,12
US1060,Nicole Garcia,Finance,USA,2015-10-17,51731.86,No,3.29,3.3,9
US1061,Julie Alexander,Sales,USA,2018-09-20,147573.89,No,2.1,3.26,1
US1062,Dawn Hensley,Support,USA,2017-07-10,121968.94,No,4.1,1.92,11
US1063,Jennifer Jones,Engineering,USA,2016-06-30,110027.97,No,3.71,3.88,4
US1064,Robert Avery,Sales,USA,2017-01-12,139374.41,Yes,2.24,2.76,18
US1065,Bailey Duran DDS,HR,USA,2019-06-04,120559.57,Yes,4.64,2.31,13
US1066,Jamie Kerr,Engineering,USA,2020-08-22,62087.43,No,3.12,4.65,5
US1067,Wanda Torres,HR,USA,2016-08-10,140545.38,No,4.87,2.18,10
US1068,Natalie Meza,Sales,USA,2019-02-13,91516.45,Yes,1.56,4.87,12
US1069,Deborah Miller,Support,USA,2019-08-31,80235.26,No,1.06,3.15,14
US1070,Benjamin Smith,HR,USA,2023-04-01,114011.12,No,3.34,4.29,11
US1071,Julie Johnson,Sales,USA,2020-06-26,114232.02,No,1.1,4.54,17
US1072,Michele Gibson,HR,USA,2019-07-22,140678.15,Yes,3.59,3.54,14
US1073,Rachel Weber,HR,USA,2018-12-13,111416.34,Yes,1.56,4.79,9
US1074,Joshua Holland,Finance,USA,2020-02-07,52773.25,Yes,4.55,1.54,14
US1075,Andrea Martin,HR,USA,2020-10-25,113753.48,No,3.35,3.91,13
US1076,Samantha Morse,Sales,USA,2023-01-20,131706.24,No,4.76,2.12,11
US1077,Michael Lyons,Engineering,USA,2020-03-19,88772.14,Yes,4.42,1.4,11
US1078,Katherine Miller,Support,USA,2016-04-05,139186.58,No,1.24,2.1,3
US1079,Morgan Munoz,Finance,USA,2016-01-09,50084.08,Yes,3.57,3.39,0
US1080,Vernon Huff,Sales,USA,2015-12-08,126547.4,Yes,4.96,4.15,6
US1081,Miss Debra Williams PhD,Sales,USA,2023-08-03,131279.96,Yes,3.35,4.25,7
US1082,Jessica Ramirez,HR,USA,2022-12-31,125180.54,Yes,2.11,4.94,4
US1083,Katherine Davis,Support,USA,2021-07-03,67571.96,Yes,1.44,4.47,4
US1084,Frank Garcia,Sales,USA,2018-04-27,79406.65,Yes,3.36,1.06,8
US1085,Michael Roberts,Sales,USA,2022-05-25,53943.44,No,3.1,3.98,15
US1086,Krista Gibson,Finance,USA,2020-12-07,125581.87,Yes,2.81,1.89,19
US1087,Brian Barton,Sales,USA,2024-05-03,119996.73,No,2.83,4.86,1
US1088,April Booth,Finance,USA,2023-06-11,133202.84,No,3.74,2.96,14
US1089,Cody Cox,Sales,USA,2024-01-24,138919.34,No,3.43,1.26,8
US1090,Olivia Harris,Support,USA,2017-10-24,109638.44,No,2.52,3.39,9
US1091,Jessica Wolfe,Finance,USA,2017-08-25,95610.62,No,1.4,3.81,20
US1092,Mark Lloyd,Support,USA,2018-04-12,119292.39,Yes,2.72,4.55,13
US1093,Adam Russell,HR,USA,2019-05-29,131016.11,No,2.66,1.38,13
US1094,Susan Murray MD,HR,USA,2018-03-15,113161.86,No,4.81,3.75,15
US1095,Dr. Jordan Hill PhD,Sales,USA,2023-08-14,50034.73,Yes,1.37,1.39,11
US1096,Juan Reyes,Engineering,USA,2024-03-25,101200.78,No,3.68,2.64,13
US1097,Breanna Jones,Sales,USA,2022-08-23,146523.85,No,2.41,3.31,6
US1098,Richard Adams,Engineering,USA,2015-08-17,112240.99,Yes,4.39,2.4,17
US1099,Edwin Matthews,HR,USA,2023-11-30,52637.38,No,3.3,4.23,17
